--model_name FAUST
--dataset FAUST_r4_2203
--device_idx 0
--refine 4
--kernel_size 2
--patch_zeromean True
--padded 1
--rotation_augment 1
--test_split ['nichts']
--test_ratio 0.25
--batch_size 100
--hid_rep 10
--lr 0.0001
--clip_grad_norm False
--grad_max_norm 0.1
--Niter 150
--conv_name ChebConv
--ChebNet_K 6
--channels [16, 32]
--lastlinear False
--surface_aware_loss True
--seed [1]
(path) work_dir: ****
(path) data_fp_spec: ****
(path) model_fp: ****

Date:  
24000 training samples
6000 testing samples
23053 trainable weights


 Training Model FAUST for seed 1:

Epoch: 060, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93163, Validation-Loss: 0.000020, Validation R^2 Score: 0.93049, Runtime: 9.60
Epoch: 061, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93162, Validation-Loss: 0.000020, Validation R^2 Score: 0.93106, Runtime: 9.58
Epoch: 062, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93164, Validation-Loss: 0.000020, Validation R^2 Score: 0.93044, Runtime: 9.58
Epoch: 063, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93171, Validation-Loss: 0.000020, Validation R^2 Score: 0.93039, Runtime: 9.56
Epoch: 064, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93168, Validation-Loss: 0.000020, Validation R^2 Score: 0.93062, Runtime: 9.56
Epoch: 065, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93173, Validation-Loss: 0.000020, Validation R^2 Score: 0.93016, Runtime: 9.59
Epoch: 066, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93179, Validation-Loss: 0.000020, Validation R^2 Score: 0.93065, Runtime: 9.58
Epoch: 067, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93178, Validation-Loss: 0.000020, Validation R^2 Score: 0.93030, Runtime: 9.60
Epoch: 068, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93182, Validation-Loss: 0.000020, Validation R^2 Score: 0.93065, Runtime: 9.62
Epoch: 069, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93184, Validation-Loss: 0.000020, Validation R^2 Score: 0.93083, Runtime: 9.60
Epoch: 070, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93184, Validation-Loss: 0.000020, Validation R^2 Score: 0.93144, Runtime: 9.62
Epoch: 071, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93189, Validation-Loss: 0.000020, Validation R^2 Score: 0.93066, Runtime: 9.62
Epoch: 072, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93192, Validation-Loss: 0.000020, Validation R^2 Score: 0.93053, Runtime: 9.72
Epoch: 073, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93193, Validation-Loss: 0.000020, Validation R^2 Score: 0.93079, Runtime: 9.76
Epoch: 074, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93197, Validation-Loss: 0.000020, Validation R^2 Score: 0.93104, Runtime: 9.76
Epoch: 075, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93205, Validation-Loss: 0.000020, Validation R^2 Score: 0.93079, Runtime: 9.77
Epoch: 076, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93200, Validation-Loss: 0.000020, Validation R^2 Score: 0.93074, Runtime: 9.77
Epoch: 077, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93206, Validation-Loss: 0.000020, Validation R^2 Score: 0.93092, Runtime: 9.76
Epoch: 078, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93216, Validation-Loss: 0.000020, Validation R^2 Score: 0.92986, Runtime: 9.77
Epoch: 079, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93209, Validation-Loss: 0.000020, Validation R^2 Score: 0.93122, Runtime: 9.78
Epoch: 080, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93220, Validation-Loss: 0.000020, Validation R^2 Score: 0.93124, Runtime: 9.81
Epoch: 081, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93220, Validation-Loss: 0.000020, Validation R^2 Score: 0.93163, Runtime: 9.78
Epoch: 082, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93226, Validation-Loss: 0.000020, Validation R^2 Score: 0.93163, Runtime: 9.77
Epoch: 083, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93226, Validation-Loss: 0.000020, Validation R^2 Score: 0.93118, Runtime: 9.75
Epoch: 084, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93231, Validation-Loss: 0.000020, Validation R^2 Score: 0.93125, Runtime: 9.78
Epoch: 085, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93237, Validation-Loss: 0.000020, Validation R^2 Score: 0.93097, Runtime: 9.70
Epoch: 086, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93236, Validation-Loss: 0.000020, Validation R^2 Score: 0.93128, Runtime: 9.58
Epoch: 087, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93237, Validation-Loss: 0.000020, Validation R^2 Score: 0.93109, Runtime: 9.60
Epoch: 088, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93244, Validation-Loss: 0.000020, Validation R^2 Score: 0.93102, Runtime: 9.57
Epoch: 089, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93245, Validation-Loss: 0.000020, Validation R^2 Score: 0.93131, Runtime: 9.59
Epoch: 090, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93248, Validation-Loss: 0.000020, Validation R^2 Score: 0.93177, Runtime: 9.59
Epoch: 091, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93251, Validation-Loss: 0.000020, Validation R^2 Score: 0.93170, Runtime: 9.60
Epoch: 092, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93251, Validation-Loss: 0.000020, Validation R^2 Score: 0.93132, Runtime: 9.57
Epoch: 093, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93259, Validation-Loss: 0.000020, Validation R^2 Score: 0.93134, Runtime: 9.58
Epoch: 094, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93259, Validation-Loss: 0.000020, Validation R^2 Score: 0.93161, Runtime: 9.58
Epoch: 095, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93257, Validation-Loss: 0.000020, Validation R^2 Score: 0.93159, Runtime: 9.60
Epoch: 096, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93271, Validation-Loss: 0.000020, Validation R^2 Score: 0.93159, Runtime: 9.65
Epoch: 097, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93262, Validation-Loss: 0.000020, Validation R^2 Score: 0.93171, Runtime: 9.79
Epoch: 098, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93265, Validation-Loss: 0.000020, Validation R^2 Score: 0.93149, Runtime: 9.76
Epoch: 099, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93272, Validation-Loss: 0.000020, Validation R^2 Score: 0.93173, Runtime: 9.77
Epoch: 100, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93272, Validation-Loss: 0.000020, Validation R^2 Score: 0.93164, Runtime: 9.78
Epoch: 101, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93274, Validation-Loss: 0.000020, Validation R^2 Score: 0.93142, Runtime: 9.79
Epoch: 102, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93278, Validation-Loss: 0.000020, Validation R^2 Score: 0.93180, Runtime: 9.76
Epoch: 103, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93280, Validation-Loss: 0.000020, Validation R^2 Score: 0.93152, Runtime: 9.77
Epoch: 104, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93283, Validation-Loss: 0.000020, Validation R^2 Score: 0.93153, Runtime: 9.78
Epoch: 105, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93282, Validation-Loss: 0.000020, Validation R^2 Score: 0.93157, Runtime: 9.77
Epoch: 106, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93287, Validation-Loss: 0.000020, Validation R^2 Score: 0.93157, Runtime: 9.78
Epoch: 107, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93288, Validation-Loss: 0.000020, Validation R^2 Score: 0.93153, Runtime: 9.76
Epoch: 108, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93290, Validation-Loss: 0.000020, Validation R^2 Score: 0.93179, Runtime: 9.79
Epoch: 109, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93290, Validation-Loss: 0.000020, Validation R^2 Score: 0.93197, Runtime: 9.74
Epoch: 110, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93295, Validation-Loss: 0.000020, Validation R^2 Score: 0.93196, Runtime: 9.75
Epoch: 111, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93297, Validation-Loss: 0.000020, Validation R^2 Score: 0.93184, Runtime: 9.78
Epoch: 112, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93298, Validation-Loss: 0.000020, Validation R^2 Score: 0.93204, Runtime: 9.76
Epoch: 113, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93302, Validation-Loss: 0.000020, Validation R^2 Score: 0.93122, Runtime: 9.78
